Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Volume,Taker Buy Quote Volume,Ignore
1736145824000,99705.24000000,99705.24000000,99705.23000000,99705.23000000,0.00085000,1736145824999,84.74944780,2,0.00023000,22.93220520,0
1736145825000,99705.24000000,99705.24000000,99705.23000000,99705.23000000,1.04902000,1736145825999,104592.79076310,6,1.03885000,103578.78857400,0
1736145826000,99705.23000000,99705.23000000,99705.23000000,99705.23000000,0.01840000,1736145826999,1834.57623200,2,0.00000000,0.00000000,0
1736145827000,99705.23000000,99705.23000000,99705.23000000,99705.23000000,0.00000000,1736145827999,0.00000000,0,0.00000000,0.00000000,0
1736145828000,99705.24000000,99705.24000000,99705.24000000,99705.24000000,1.00000000,1736145828999,99705.24000000,3,1.00000000,99705.24000000,0
1736145829000,99705.24000000,99705.24000000,99705.23000000,99705.23000000,0.00448000,1736145829999,446.67945630,2,0.00259000,258.23657160,0
1736145830000,99705.24000000,99705.24000000,99705.23000000,99705.24000000,0.02148000,1736145830999,2141.66844460,4,0.01042000,1038.92860080,0
1736145831000,99705.23000000,99705.24000000,99705.23000000,99705.24000000,0.00134000,1736145831999,133.60500910,3,0.00009000,8.97347160,0
1736145832000,99705.24000000,99705.24000000,99705.24000000,99705.24000000,0.00034000,1736145832999,33.89978160,2,0.00034000,33.89978160,0
1736145833000,99705.23000000,99705.24000000,99705.23000000,99705.24000000,0.00151000,1736145833999,150.55490420,5,0.00069000,68.79661560,0
1736145834000,99705.23000000,99705.24000000,99705.23000000,99705.24000000,0.02236000,1736145834999,2229.40905890,8,0.01161000,1157.57783640,0
1736145835000,99705.24000000,99705.24000000,99705.23000000,99705.24000000,0.03598000,1736145835999,3587.39443500,31,0.02596000,2588.34803040,0
1736145836000,99705.24000000,99705.24000000,99705.24000000,99705.24000000,0.08129000,1736145836999,8105.03895960,37,0.08129000,8105.03895960,0
1736145837000,99705.24000000,99705.57000000,99705.23000000,99705.57000000,0.64063000,1736145837999,63874.16314680,67,0.13846000,13805.18779770,0
1736145838000,99705.57000000,99705.57000000,99705.57000000,99705.57000000,0.03401000,1736145838999,3390.98643570,29,0.03401000,3390.98643570,0
1736145839000,99705.57000000,99705.57000000,99705.57000000,99705.57000000,0.04459000,1736145839999,4445.87136630,24,0.04459000,4445.87136630,0
1736145840000,99705.57000000,99706.99000000,99705.57000000,99706.99000000,0.16974000,1736145840999,16924.10858200,111,0.13806000,13765.39145560,0
1736145841000,99706.99000000,99706.99000000,99706.99000000,99706.99000000,0.02304000,1736145841999,2297.24904960,36,0.02304000,2297.24904960,0
1736145842000,99706.99000000,99706.99000000,99706.99000000,99706.99000000,0.05562000,1736145842999,5545.70278380,39,0.05562000,5545.70278380,0
1736145843000,99706.99000000,99718.53000000,99706.99000000,99717.93000000,1.19773000,1736145843999,119426.91811560,236,1.19773000,119426.91811560,0
1736145844000,99717.93000000,99717.93000000,99717.92000000,99717.93000000,0.05024000,1736145844999,5009.82880210,30,0.05013000,4998.85983090,0
1736145845000,99717.93000000,99718.07000000,99717.92000000,99718.07000000,0.25810000,1736145845999,25737.19786920,38,0.25800000,25727.22607720,0
1736145846000,99718.07000000,99718.08000000,99718.07000000,99718.08000000,0.00061000,1736145846999,60.82802760,6,0.00049000,48.86185920,0
1736145847000,99718.08000000,99736.00000000,99718.08000000,99736.00000000,0.45451000,1736145847999,45326.36259630,429,0.45451000,45326.36259630,0
1736145848000,99736.00000000,99736.00000000,99736.00000000,99736.00000000,0.00000000,1736145848999,0.00000000,0,0.00000000,0.00000000,0
1736145849000,99736.00000000,99737.57000000,99736.00000000,99737.57000000,0.03964000,1736145849999,3953.53984560,119,0.02392000,2385.68976840,0
1736145850000,99737.86000000,99741.80000000,99737.86000000,99741.80000000,0.05294000,1736145850999,5280.22876990,147,0.05294000,5280.22876990,0
1736145851000,99741.79000000,99742.64000000,99741.79000000,99742.64000000,0.11975000,1736145851999,11944.12833370,47,0.11880000,11849.37363320,0
1736145852000,99743.13000000,99750.47000000,99743.13000000,99750.47000000,0.05702000,1736145852999,5687.46974360,161,0.05614000,5599.69534880,0
1736145853000,99750.47000000,99750.48000000,99750.47000000,99750.48000000,0.11272000,1736145853999,11243.87299080,8,0.00124000,123.69059520,0
1736145854000,99750.48000000,99750.48000000,99750.47000000,99750.47000000,0.02059000,1736145854999,2053.86231110,7,0.01338000,1334.66142240,0
1736145855000,99750.47000000,99750.48000000,99748.55000000,99748.55000000,1.19681000,1736145855999,119382.36936370,89,1.00026000,99776.41512480,0
1736145856000,99748.55000000,99748.55000000,99748.54000000,99748.54000000,0.00988000,1736145856999,985.51558950,2,0.00143000,142.64042650,0
1736145857000,99748.55000000,99748.55000000,99748.55000000,99748.55000000,0.01505000,1736145857999,1501.21567750,5,0.01505000,1501.21567750,0
1736145858000,99748.55000000,99748.55000000,99743.79000000,99743.79000000,1.61722000,1736145858999,161308.95793220,102,1.01922000,101660.95596850,0
1736145859000,99743.79000000,99743.80000000,99743.79000000,99743.80000000,0.13564000,1736145859999,13529.24901980,10,0.13442000,13407.56159600,0
1736145860000,99743.79000000,99743.79000000,99719.65000000,99719.65000000,1.70097000,1736145860999,169644.80033050,534,1.00000000,99734.07000000,0
1736145861000,99719.05000000,99719.05000000,99719.04000000,99719.04000000,0.01361000,1736145861999,1357.17620690,2,0.00725000,722.96311250,0
1736145862000,99719.05000000,99719.05000000,99719.04000000,99719.04000000,1.00146000,1736145862999,99864.63980350,9,1.00051000,99769.90671550,0
1736145863000,99719.04000000,99719.04000000,99719.04000000,99719.04000000,0.00000000,1736145863999,0.00000000,0,0.00000000,0.00000000,0
1736145864000,99719.05000000,99719.05000000,99719.05000000,99719.05000000,0.00065000,1736145864999,64.81738250,1,0.00065000,64.81738250,0
1736145865000,99719.05000000,99719.05000000,99719.05000000,99719.05000000,0.00274000,1736145865999,273.23019700,1,0.00274000,273.23019700,0
1736145866000,99719.05000000,99719.53000000,99719.04000000,99719.53000000,1.11375000,1736145866999,111062.09327430,67,1.11294000,110981.32070000,0
1736145867000,99719.53000000,99719.53000000,99719.53000000,99719.53000000,0.00012000,1736145867999,11.96634360,1,0.00000000,0.00000000,0
1736145868000,99719.53000000,99719.54000000,99719.53000000,99719.54000000,0.01769000,1736145868999,1764.03849570,5,0.00100000,99.71954000,0
1736145869000,99719.54000000,99719.54000000,99719.54000000,99719.54000000,0.15507000,1736145869999,15463.50906780,1,0.15507000,15463.50906780,0
1736145870000,99719.54000000,99719.54000000,99719.54000000,99719.54000000,1.00000000,1736145870999,99719.54000000,13,1.00000000,99719.54000000,0
1736145871000,99719.54000000,99719.54000000,99719.54000000,99719.54000000,0.00020000,1736145871999,19.94390800,1,0.00020000,19.94390800,0
1736145872000,99719.54000000,99719.54000000,99719.53000000,99719.54000000,1.22439000,1736145872999,122095.60754620,23,1.22095000,121752.57236300,0
1736145873000,99719.53000000,99719.54000000,99719.53000000,99719.54000000,0.04095000,1736145873999,4083.51481280,3,0.00593000,591.33687220,0
1736145874000,99719.54000000,99724.74000000,99719.53000000,99724.74000000,3.52242000,1736145874999,351262.42649030,152,3.49733000,348760.46348260,0
1736145875000,99724.73000000,99724.73000000,99724.73000000,99724.73000000,0.00130000,1736145875999,129.64214900,2,0.00000000,0.00000000,0
1736145876000,99724.74000000,99725.43000000,99724.74000000,99725.43000000,2.54131000,1736145876999,253432.23154270,88,2.32851000,232210.75367070,0
1736145877000,99725.42000000,99731.97000000,99725.42000000,99731.97000000,1.87724000,1736145877999,187212.31487870,142,1.87598000,187086.66084950,0
1736145878000,99731.97000000,99739.87000000,99731.96000000,99739.87000000,3.06437000,1736145878999,305628.43251960,123,3.06371000,305562.60942600,0
1736145879000,99739.86000000,99739.86000000,99739.86000000,99739.86000000,0.00100000,1736145879999,99.73986000,1,0.00000000,0.00000000,0
1736145880000,99739.86000000,99739.86000000,99739.86000000,99739.86000000,0.00100000,1736145880999,99.73986000,1,0.00000000,0.00000000,0
1736145881000,99739.86000000,99739.87000000,99739.86000000,99739.86000000,0.26067000,1736145881999,25999.19188880,6,0.25826000,25758.81882620,0
1736145882000,99739.87000000,99739.87000000,99739.86000000,99739.86000000,0.32487000,1736145882999,32402.49143810,5,0.31199000,31117.84204130,0
1736145883000,99739.86000000,99739.87000000,99739.86000000,99739.86000000,0.00511000,1736145883999,509.67068760,3,0.00030000,29.92196100,0
1736145884000,99739.87000000,99739.87000000,99739.86000000,99739.87000000,0.15420000,1736145884999,15379.88792030,3,0.15083000,15043.76459210,0
1736145885000,99739.87000000,99739.87000000,99739.86000000,99739.86000000,0.01942000,1736145885999,1936.94821020,7,0.01290000,1286.64432300,0
1736145886000,99739.86000000,99739.87000000,99739.86000000,99739.87000000,0.01595000,1736145886999,1590.85079700,3,0.00300000,299.21961000,0
1736145887000,99739.86000000,99739.87000000,99739.86000000,99739.86000000,0.07063000,1736145887999,7044.62639370,14,0.00819000,816.86953530,0
1736145888000,99739.86000000,99739.86000000,99739.86000000,99739.86000000,0.00000000,1736145888999,0.00000000,0,0.00000000,0.00000000,0
1736145889000,99739.86000000,99739.87000000,99739.86000000,99739.86000000,0.02092000,1736145889999,2086.55787190,16,0.00007000,6.98179090,0
1736145890000,99739.86000000,99739.86000000,99739.86000000,99739.86000000,0.00049000,1736145890999,48.87253140,2,0.00000000,0.00000000,0
1736145891000,99739.87000000,99739.87000000,99739.86000000,99739.87000000,0.00205000,1736145891999,204.46673150,5,0.00185000,184.51875950,0
1736145892000,99739.86000000,99739.86000000,99737.94000000,99737.94000000,0.28404000,1736145892999,28329.75711410,166,0.00000000,0.00000000,0
1736145893000,99737.94000000,99737.94000000,99719.52000000,99719.52000000,1.85896000,1736145893999,185389.44779730,274,0.00000000,0.00000000,0
1736145894000,99718.65000000,99718.65000000,99698.60000000,99698.60000000,0.50340000,1736145894999,50194.78366040,295,0.11486000,11452.34556260,0
1736145895000,99698.60000000,99699.30000000,99698.60000000,99699.30000000,5.12431000,1736145895999,510887.34831530,43,5.12412000,510868.40558130,0
1736145896000,99699.29000000,99699.30000000,99699.29000000,99699.30000000,0.03635000,1736145896999,3624.06954930,6,0.03578000,3567.24095400,0
