Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Volume,Taker Buy Quote Volume,Ignore
1736145842000,99682.77000000,99682.77000000,99682.77000000,99682.77000000,0.00000000,1736145842999,0.00000000,0,0.00000000,0.00000000,0
1736145843000,99682.77000000,99693.64000000,99682.77000000,99693.64000000,0.34098000,1736145843999,33990.62423300,15,0.34098000,33990.62423300,0
1736145844000,99693.64000000,99693.64000000,99693.64000000,99693.64000000,0.00010000,1736145844999,9.96936400,1,0.00010000,9.96936400,0
1736145845000,99693.64000000,99693.64000000,99693.64000000,99693.64000000,0.00000000,1736145845999,0.00000000,0,0.00000000,0.00000000,0
1736145846000,99701.84000000,99701.84000000,99701.84000000,99701.84000000,0.00025000,1736145846999,24.92546000,1,0.00000000,0.00000000,0
1736145847000,99701.84000000,99708.66000000,99701.84000000,99708.66000000,0.14150000,1736145847999,14108.60223880,7,0.13748000,13707.80084200,0
1736145848000,99708.66000000,99708.66000000,99708.66000000,99708.66000000,0.00000000,1736145848999,0.00000000,0,0.00000000,0.00000000,0
1736145849000,99722.09000000,99722.09000000,99722.09000000,99722.09000000,0.01550000,1736145849999,1545.69239500,2,0.01550000,1545.69239500,0
1736145850000,99722.09000000,99722.09000000,99722.09000000,99722.09000000,0.00000000,1736145850999,0.00000000,0,0.00000000,0.00000000,0
1736145851000,99722.09000000,99722.09000000,99722.09000000,99722.09000000,0.00000000,1736145851999,0.00000000,0,0.00000000,0.00000000,0
1736145852000,99722.09000000,99722.09000000,99722.09000000,99722.09000000,0.00000000,1736145852999,0.00000000,0,0.00000000,0.00000000,0
1736145853000,99722.09000000,99722.09000000,99722.09000000,99722.09000000,0.00000000,1736145853999,0.00000000,0,0.00000000,0.00000000,0
1736145854000,99722.09000000,99722.09000000,99722.09000000,99722.09000000,0.00000000,1736145854999,0.00000000,0,0.00000000,0.00000000,0
1736145855000,99730.91000000,99730.91000000,99724.40000000,99724.40000000,0.11958000,1736145855999,11925.35942190,3,0.00000000,0.00000000,0
1736145856000,99724.40000000,99724.40000000,99724.40000000,99724.40000000,0.00000000,1736145856999,0.00000000,0,0.00000000,0.00000000,0
