Tx hash,From,To,Amount,Binance amount,Profit,Profit percentage
0x088d3835a19db8e01610cd7fe3285f68088db4bfd18b97ea85b4a4a329ff01ca,USDC,POL,515.0366045,515.1723473907183,-0.07053200601725339,-0.000263490250216006
0x093277fcfe30d10b9aa7857ee277bb1ee433503867b08df92e268740c5c57d03,POL,USDC,110.104306,110.14511794719999,-0.040828271978878145,-0.0003705288800867422
0x0ae4948336d8558e9342467aa0a272eeef37592965307323917e7380432f1050,POL,USDT,148.447408,148.3731684121,0.07423958789999574,0.0005003572323386566
0x0b392dd8a64a48440e872ee5ff9bf694bb18e3c376efe0547dd11eade827ea33,ETH,USDT,500.719597,500.4810963425999,0.2385006574000954,0.0004765427888146087
0x0b6e35c8121a8a650e06b1f219175ae44abf6a002c934e04872327e57638f50c,POL,USDT,423.01612,423.0423433432,-0.026223343200001636,-6.198751404591082e-05
0x0b9a0db92d38dfbf3ce8bf9904e1f8a98712a199c532e9a3018199c4c7cdc018,BTC,POL,102.5397328,102.91778202676865,-0.19681242745576052,-0.003673313001151958
0x0bd67b669da519b518aa27b4337548ed1860752f1fdd7d151a14b6364d230214,SAND,POL,86.52021776,86.49436546095016,0.013386320448002318,0.00029888997869464994
0x0bf54c11a20fd39beabbc9c400a631587f6445e291045386ca614db79d9713c6,POL,USDT,407.504766,407.7635214247,-0.25875542469998436,-0.0006345722731545707
0x0c0261e51bd5d813857a436c744b31549769a8bd492162fa47927a5a23bc83ed,USDC,POL,785.7583928,786.062931696086,-0.15887794208806671,-0.00038742304694218074
0x0c40fde5c93302d9eae43bda1691ae52ad9b6bc9a191b3111d174f611123f203,USDT,POL,1560.81,1561.36503658067,-0.2882860000000231,-0.00035548162515894256
0x0d8cbc9976804473d242af608a8e893b18a5cda4a32541922b0b878cc8ff5439,POL,USDC,147.760467,147.89162926830002,-0.13120161698050664,-0.0008868809475488736
0x0d931e178bc3c933b4fa50aed58d94efb097150c7b34eb1f741c78b96fe332ac,DAI,POL,83.84001179,83.82954391613693,0.005430732960164932,0.00012487093898005917
0x0d9435a1cb4cfd8d6306fb84c2a436724267ab9b9581414accf3bd0ec9c1eaee,USDC,POL,38.47761185,38.503460207612456,-0.013459239808804434,-0.0006713255762749048
